Customer Name,Age,Gender,Marital Status,Education Level,Income Level,Occupation,Account Balance,Length of Time with Bank (Months),Transaction Frequency,Average Transaction Amount,Digital Banking Usage,Customer Service Interactions,Sentiment Score,Life Event,Competitor Proximity,Market Conditions,Customer Interactions,Product Usage,Customer Satisfaction,Customer Engagement
Jose Martinez,30,Male,Single,PhD,182594,Managerial,5898.884622816511,273,59,435.2018748662731,High,14,0.26288012575434916,Divorce,Close,Poor,9,Low,3,4
Eric Long,38,Female,Single,Bachelor's Degree,100610,Technical,3881.8016603314486,223,67,113.57924231964945,Low,6,0.15621322041250207,None,Close,Poor,16,High,1,2
Lawrence Johnson,24,Male,Married,Master's Degree,57474,Technical,8712.464470807918,131,63,542.8786391867282,Low,13,0.8555164692691746,Birth,Close,Good,32,High,4,2
Sean Esparza,44,Female,Divorced,Bachelor's Degree,70264,Managerial,1541.8733640316052,100,66,523.0026919210438,High,4,0.953180077429142,Divorce,Far,Fair,49,Medium,4,1
Amber Burch,80,Male,Single,PhD,70275,Managerial,6894.770132046998,120,29,600.5550131160129,Medium,15,0.18811686041040931,Birth,Far,Fair,22,Low,3,1
Mary Brown,39,Female,Widowed,Master's Degree,41280,Managerial,3934.0310129188783,73,91,751.777740300405,High,0,0.8088227304963697,Birth,Close,Poor,6,Medium,2,2
Christine Palmer,49,Male,Single,Bachelor's Degree,24644,Professional,3053.6332278477216,172,8,760.790401284459,High,18,0.16407845906652463,Relocation,Moderate,Poor,34,Medium,3,1
Brian Burns,24,Female,Divorced,PhD,132677,Technical,5798.691400223166,269,10,190.5367374038319,Low,2,0.4811929186005478,Relocation,Moderate,Fair,16,Medium,1,3
Aaron White,20,Female,Widowed,High School,67337,Professional,9888.202887586509,284,54,107.58742097878722,Medium,12,0.4071697997082129,Divorce,Close,Poor,0,High,3,4
Christine Beltran,28,Female,Single,PhD,118381,Technical,7692.887956858896,45,25,858.3295600042701,High,12,0.7824988857759542,Birth,Moderate,Poor,31,Low,1,1
Joshua Scott,51,Female,Single,PhD,132898,Administrative,1361.4302979633974,22,62,978.2305300090519,High,13,0.6913194154837896,Birth,Moderate,Good,1,Low,1,3
Bryan Little,20,Female,Married,High School,133618,Technical,1192.5689384375648,157,95,121.34046768480103,Low,17,0.47403688209288153,Marriage,Close,Poor,9,Medium,1,2
Jenna Bell,57,Female,Widowed,PhD,38286,Technical,2272.146231949895,233,60,849.9053897843033,High,5,0.9764263994309085,Relocation,Close,Fair,27,Medium,1,1
Julie Costa,68,Male,Widowed,Bachelor's Degree,149461,Skilled Labor,2503.1845268906936,134,0,822.7334997031274,High,5,0.24266036088198684,Marriage,Close,Good,44,Medium,3,4
Mckenzie Mccoy,19,Female,Single,Bachelor's Degree,86774,Professional,7173.973607484103,272,70,428.61087785034846,Low,19,0.15911136697520345,None,Close,Fair,10,Medium,3,4
Katelyn Long,51,Female,Single,High School,176916,Skilled Labor,7334.638646152808,276,95,832.8141009613464,Medium,8,0.5687609339655056,Marriage,Close,Good,30,Medium,3,4
Jay York,67,Male,Married,Bachelor's Degree,98602,Unskilled Labor,7398.680838877888,101,87,836.1341052796312,Low,5,0.40773917124400294,Birth,Moderate,Poor,21,Low,3,1
Troy Skinner,38,Female,Single,Master's Degree,107621,Unskilled Labor,215.85633470671772,129,32,582.3833738245078,Low,2,0.5213096430947596,Relocation,Far,Poor,12,Low,3,2
Michelle Crawford,73,Female,Married,Bachelor's Degree,63975,Technical,6781.114850945689,269,51,805.7866112119177,Low,15,0.5332463537731859,Divorce,Close,Good,5,High,2,3
Richard Gillespie,27,Female,Divorced,PhD,99026,Unskilled Labor,3752.0001480639853,71,0,198.08406936111135,High,10,0.5382171409180967,None,Close,Poor,4,Low,3,3
Michelle Vargas,85,Female,Divorced,Bachelor's Degree,132156,Skilled Labor,5086.72016513854,59,70,911.8550929122158,Low,5,0.07062793538507917,Relocation,Close,Fair,7,Medium,4,3
Paige Edwards,24,Male,Divorced,PhD,129998,Unskilled Labor,6979.629774728738,290,36,930.168196893075,Medium,5,0.4765786389120634,Relocation,Close,Fair,47,Medium,1,2
Katherine Hood,34,Female,Single,High School,22530,Unskilled Labor,7826.999665351182,16,21,579.2296724158923,Medium,4,0.7529143296711347,Birth,Far,Fair,49,Medium,2,4
Erin Larson,27,Male,Married,Bachelor's Degree,27281,Professional,5579.447428795909,128,35,231.87579189376652,High,11,0.1399013024864212,Divorce,Close,Good,43,Low,4,2
Lauren Olson,27,Male,Widowed,PhD,65748,Administrative,4656.1630606310755,94,42,627.1368397083852,Medium,13,0.9632860218388659,Divorce,Close,Fair,7,Low,3,3
Leslie Carter,64,Female,Married,Master's Degree,139148,Administrative,6666.8070633118905,16,35,38.27160879297442,Medium,16,0.1978477838633962,Birth,Moderate,Poor,25,Low,3,4
Mr. Robert Moore,33,Female,Divorced,High School,70473,Technical,5112.80283072127,277,76,772.0306482963109,Low,18,0.9360327101275843,Birth,Close,Fair,27,Low,1,4
Christine Cummings,48,Female,Widowed,Bachelor's Degree,102726,Skilled Labor,8080.051000532805,231,88,59.94238183890811,High,6,0.18109650889367368,None,Close,Poor,3,High,1,2
Ashley Santiago,55,Female,Married,Master's Degree,58134,Professional,3263.91551068554,172,75,946.5050409652116,Low,6,0.2965282414540096,Divorce,Close,Poor,33,Low,4,4
Gordon Lindsey,89,Male,Single,Master's Degree,190367,Administrative,1849.8160596692414,129,35,950.9198596536265,Low,16,0.08330270633686665,None,Moderate,Fair,30,Medium,3,1
Tracie Brown,63,Female,Single,Bachelor's Degree,145678,Professional,9.226729661826472,221,64,975.2601029039874,Low,6,0.4571480106412875,Relocation,Moderate,Good,7,High,4,1
Deborah Young,33,Male,Single,PhD,110868,Unskilled Labor,8744.9559195282,288,70,857.6519348649448,Low,13,0.3761513780023047,None,Far,Poor,22,Low,2,4
Mrs. Emily Smith DVM,61,Male,Married,Bachelor's Degree,152418,Technical,5249.356237155449,109,88,174.70499286868986,Medium,7,0.10043944014609885,Relocation,Far,Good,25,Low,1,3
Emily Harmon,32,Female,Divorced,Bachelor's Degree,180626,Managerial,9505.50495916828,250,35,853.8506809889261,High,4,0.18880725914083984,Birth,Moderate,Fair,9,Medium,3,3
Tony Gibson,71,Male,Divorced,Bachelor's Degree,51169,Unskilled Labor,6464.256518793889,118,48,797.939087021005,Low,10,0.5678095362197144,Marriage,Close,Fair,28,Medium,1,3
Jaime Clay,22,Female,Married,High School,166710,Professional,9766.87407745519,200,54,528.9174075896262,Low,9,0.28543369730159684,Relocation,Far,Good,5,High,2,4
Rachel Cannon,30,Male,Married,Bachelor's Degree,185572,Skilled Labor,1128.781283064363,117,35,863.8545777226116,High,17,0.7672887598394389,Relocation,Close,Fair,29,High,3,1
Pamela Carter,57,Male,Married,High School,196566,Professional,9212.956205840412,185,41,749.7078603676705,Low,16,0.816361101799669,Divorce,Close,Poor,28,High,2,4
Sean Baker,38,Male,Single,Bachelor's Degree,180293,Technical,2598.216610601588,124,48,753.4445502783608,High,7,0.9198835397798073,Divorce,Far,Fair,12,High,4,2
Rodney Hayes,69,Male,Divorced,Master's Degree,84842,Skilled Labor,8729.792515103545,118,49,649.3536595763107,Low,6,0.9396742995422337,None,Moderate,Fair,7,High,4,2
Robert Henderson,53,Female,Widowed,High School,162024,Skilled Labor,2831.7012911745996,230,50,638.288050695749,Low,19,0.581638579162826,None,Moderate,Fair,17,Low,1,4
John Webb,66,Female,Married,PhD,170811,Skilled Labor,6044.217486675068,57,76,368.78364448746345,Medium,5,0.3961587571423255,Relocation,Close,Fair,45,Medium,3,3
Teresa Mosley,78,Male,Divorced,PhD,145477,Professional,17.07257310408994,274,65,951.1568771575037,High,9,0.238134438519659,Birth,Far,Good,7,High,2,4
James Campbell,44,Female,Single,PhD,122244,Technical,3713.8511892205215,68,30,566.317940588276,Low,12,0.5891895735092745,Birth,Close,Poor,15,Medium,4,4
Christopher Schwartz,89,Female,Divorced,Master's Degree,85775,Administrative,2870.262765659709,98,69,20.899693586726862,High,2,0.8124240112262411,Birth,Moderate,Good,32,High,3,2
Shannon Smith,76,Male,Single,PhD,154384,Technical,3966.5664228628507,86,42,855.4463232833863,Low,12,0.94631405901888,Relocation,Close,Fair,10,High,3,2
Nathan Anderson,65,Male,Single,PhD,25670,Administrative,100.3148987387481,142,56,839.3450140402881,Medium,14,0.90153160299966,None,Far,Good,49,Medium,4,1
Laura Shelton,35,Male,Widowed,Master's Degree,147725,Administrative,4586.2080772145855,143,5,873.000571818024,Medium,9,0.7426117624051147,Birth,Moderate,Fair,35,Medium,3,1
Steven Barajas MD,51,Female,Divorced,PhD,184950,Unskilled Labor,5440.535315540141,109,70,485.9208595258039,Medium,5,0.17960928826263522,None,Far,Good,47,High,2,1
Kenneth Watson,52,Female,Married,Master's Degree,50509,Managerial,9141.059756389792,180,61,862.1227089379265,Low,2,0.31569221790201385,Birth,Moderate,Fair,38,Low,1,2
Ronald Rios,27,Male,Widowed,Master's Degree,52170,Unskilled Labor,5043.068586627129,273,99,943.0596193912894,Low,10,0.8328903388546262,Marriage,Close,Good,32,Low,3,3
Christine Roberts,77,Male,Widowed,Bachelor's Degree,35685,Skilled Labor,8888.295778584574,128,16,255.19837445238898,Medium,13,0.4584364318862244,None,Far,Good,2,Low,3,2
Robert Lin,27,Female,Divorced,Bachelor's Degree,23683,Professional,5625.4272933931015,238,52,718.2350574528595,Medium,4,0.22873844473591487,Divorce,Close,Poor,36,Medium,3,3
Shannon Mcintyre,26,Male,Widowed,PhD,198846,Professional,6813.614844091581,214,48,103.95334000243223,High,6,0.18857753548628264,Marriage,Close,Poor,47,Medium,2,4
Deborah Smith,88,Male,Widowed,PhD,166787,Skilled Labor,8185.241114379701,276,28,827.012845689662,Medium,14,0.03025080097427335,Marriage,Far,Good,23,Medium,3,3
Jeremy Robles DVM,87,Female,Married,PhD,86622,Professional,4460.1329762572595,280,69,697.445111970378,Low,15,0.5337395231546599,Divorce,Far,Poor,40,Medium,1,4
Samuel Perry,68,Male,Single,PhD,138676,Technical,1246.690657159687,196,88,869.5628329750646,Low,19,0.471829180951287,Divorce,Moderate,Good,32,Low,1,4
Kathleen Stevens,26,Male,Married,Bachelor's Degree,110007,Administrative,6545.335834221027,89,77,182.93922881451923,Low,14,0.05855511337682995,Relocation,Moderate,Fair,34,High,4,2
James Cox,58,Male,Single,PhD,150800,Technical,2429.748189152848,95,80,731.1985083270247,Medium,10,0.1843311044002125,Birth,Close,Poor,10,High,3,1
Anthony Baker,70,Female,Married,High School,104562,Managerial,1892.758980957293,6,45,450.1630045054215,High,3,0.541295561615265,Divorce,Close,Good,34,Low,3,1
Ryan Carter,38,Male,Married,Master's Degree,53260,Managerial,4881.843011052015,58,0,504.4299881892405,High,4,0.14720443412362116,Divorce,Moderate,Fair,29,Low,4,4
Grace Thomas,27,Male,Married,High School,41219,Technical,5573.937994750462,39,15,890.2587087663785,Low,6,0.45926784944146104,Marriage,Far,Fair,46,Low,4,2
Mark Roberts,63,Male,Married,Master's Degree,191662,Professional,6253.156132865436,36,2,780.0398377013851,Medium,4,0.23878245436118972,Divorce,Close,Poor,17,Medium,1,2
Peter Cooper,20,Male,Divorced,Bachelor's Degree,161857,Skilled Labor,8222.136822164297,202,28,474.3792025840916,High,6,0.4736052591032831,None,Close,Good,37,Medium,4,1
James Walsh,19,Male,Married,High School,147409,Professional,5126.0927217611115,126,79,576.8471369092089,High,18,0.5650989111966512,Relocation,Moderate,Good,26,Medium,1,1
Kaitlin Bryant,61,Female,Married,High School,131622,Professional,3248.5178211356524,21,20,259.21151084027133,High,1,0.07816951379723591,Birth,Far,Good,24,High,3,4
Erika Robles,31,Female,Single,Master's Degree,125769,Technical,7866.798754221739,268,35,274.1257772081389,Low,9,0.43338465892640976,Relocation,Far,Fair,36,High,1,1
Mark Bond,38,Female,Married,High School,23351,Unskilled Labor,9946.430122407912,147,23,147.392972512001,Medium,16,0.9074279059484393,Birth,Moderate,Good,25,High,3,4
Anna Fuller,42,Male,Single,Bachelor's Degree,167675,Professional,2996.6325748194777,148,26,206.64473230376305,Low,11,0.1492814663726051,Marriage,Far,Good,35,Medium,2,1
Andrew Kelly,31,Female,Widowed,Bachelor's Degree,196910,Professional,3478.6235108899186,78,45,619.0344213874006,Medium,3,0.47729588919764243,Relocation,Far,Fair,40,High,3,4
Mathew Bird,88,Female,Widowed,PhD,170778,Skilled Labor,8738.23024013706,137,49,787.8458979418613,Low,16,0.005189052559144147,Relocation,Far,Fair,25,Low,2,4
Ashley Rush,50,Female,Widowed,Bachelor's Degree,47489,Managerial,4781.137307545507,256,98,65.98543721467715,High,12,0.10380657802862059,Divorce,Moderate,Fair,36,Medium,1,2
Kyle Washington Jr.,69,Female,Married,PhD,75568,Administrative,7934.7214505370275,250,62,31.7522575073519,High,13,0.40075617692496646,None,Moderate,Good,4,Low,1,4
Lindsay Ramirez,58,Female,Divorced,High School,196276,Unskilled Labor,8455.195511476291,14,29,637.8286030859498,Medium,9,0.6492747069110123,Birth,Moderate,Good,48,Medium,3,1
Shelby Gutierrez,65,Male,Married,Bachelor's Degree,162166,Skilled Labor,3850.4625506518673,97,96,382.84853590921546,High,15,0.15609353061557107,Relocation,Far,Good,13,High,1,1
Renee Parker,22,Female,Married,Bachelor's Degree,167307,Administrative,6806.263319960359,294,40,637.2727892204636,High,6,0.6151602130306232,None,Close,Good,22,Low,1,1
Mike Miller,47,Female,Single,Master's Degree,137171,Technical,3236.4444694110584,257,87,569.3255073939348,Medium,19,0.9410039284496329,None,Moderate,Fair,20,High,2,1
Abigail Riddle,45,Male,Widowed,PhD,122656,Administrative,955.4460547805976,199,76,810.4319562108611,Medium,5,0.7352806182311507,None,Moderate,Poor,14,High,4,2
David Brown,22,Female,Married,Bachelor's Degree,36192,Unskilled Labor,29.94383841457782,110,35,713.1418148686802,Medium,2,0.42979832697474707,Relocation,Moderate,Poor,34,Low,2,2
Angela Chen,53,Male,Divorced,PhD,170089,Managerial,2178.5380101364062,293,32,136.20552882027448,Medium,13,0.8619460966678633,None,Close,Fair,30,Medium,2,4
Paul Gomez,29,Female,Divorced,PhD,61401,Skilled Labor,5840.820722499603,60,91,562.4985293299796,High,1,0.8239548164021936,Divorce,Close,Poor,14,Low,2,1
Shannon Nelson,56,Male,Widowed,High School,45430,Unskilled Labor,6635.845217860094,281,35,668.7184290797104,Low,4,0.5617712654909833,None,Close,Fair,7,Low,4,4
Elizabeth Hartman,63,Female,Single,Bachelor's Degree,189243,Administrative,4045.2105217662047,141,12,686.9382159093709,Low,9,0.6470990331827846,Relocation,Far,Good,40,High,2,2
Sara Simmons,74,Male,Divorced,Master's Degree,44824,Managerial,6791.649028291543,253,76,749.374376470172,High,15,0.13794688498937346,Marriage,Moderate,Poor,25,Medium,2,1
Alexander Patton,66,Female,Married,Bachelor's Degree,104410,Managerial,1251.5677188509533,116,31,900.8721271732643,Medium,3,0.5710463114973284,None,Moderate,Fair,3,High,4,4
Kevin Hunt,50,Female,Divorced,PhD,140043,Managerial,4397.557709171874,57,71,809.4268757639089,Low,16,0.49270955511642645,None,Far,Fair,40,Medium,2,4
Adrian Collins,18,Female,Widowed,PhD,145287,Unskilled Labor,7513.619478153636,247,90,850.0957502172538,Low,16,0.7236285289539854,None,Far,Fair,13,Low,1,2
Hailey Solomon,84,Male,Widowed,Master's Degree,99421,Managerial,5206.564656584976,128,70,324.0186098750376,High,12,0.8101707608828479,Relocation,Moderate,Good,8,Low,3,1
Brandon Davila,58,Female,Divorced,Master's Degree,82613,Technical,5759.676796487222,106,31,330.1903908750272,High,2,0.356162295813543,None,Far,Poor,8,Low,2,2
Joel Crawford,45,Female,Married,High School,196615,Professional,6613.424525822559,111,14,882.3469108427573,Medium,0,0.36427891389230693,Birth,Moderate,Good,47,Medium,3,4
Jeremy Long,41,Male,Single,High School,65433,Unskilled Labor,464.07681236690144,41,62,745.8374109315076,High,6,0.34334729043615086,Divorce,Close,Poor,8,Medium,3,2
Randy Anderson,19,Male,Married,Master's Degree,131460,Managerial,4525.279696697816,182,67,336.10382753861364,High,8,0.7723322277465204,Marriage,Far,Fair,27,Low,3,2
Mary Simmons,60,Male,Married,Bachelor's Degree,153037,Technical,2971.713989409023,219,75,429.60716632559274,Low,6,0.6511189452583501,Relocation,Moderate,Fair,10,Low,2,4
Janice Martinez,46,Female,Divorced,Master's Degree,151523,Professional,8841.196227071201,225,50,599.9279766534006,Low,1,0.9626302274521659,Birth,Far,Good,3,Low,4,3
Elizabeth Ramirez,81,Male,Divorced,Master's Degree,196399,Administrative,5804.951430436441,200,84,396.61731826803873,High,16,0.0745618132860919,None,Far,Fair,12,High,1,2
Robert Marquez,24,Male,Married,High School,33125,Skilled Labor,5071.167485794997,234,57,132.30653834764368,High,12,0.2818707925666878,Relocation,Far,Good,8,Medium,3,3
Sara Edwards,40,Male,Single,PhD,153868,Skilled Labor,6499.9518167723045,248,17,252.20797671214044,Medium,6,0.35902233996632194,Birth,Close,Good,49,Medium,4,1
Emily Greene,85,Female,Married,Bachelor's Degree,117737,Managerial,2286.580453359577,14,63,148.45934456501155,High,11,0.6618290875956387,Marriage,Far,Good,31,Medium,4,3
Sarah Jenkins,81,Female,Divorced,PhD,144267,Administrative,5760.762952809107,276,95,49.82392140495424,Medium,2,0.6033366151131504,None,Moderate,Good,18,Medium,4,4
Paul Stuart,59,Male,Divorced,PhD,84411,Administrative,556.5242686724159,237,92,625.4066155140265,Medium,3,0.9325587905589225,None,Close,Poor,36,Low,2,1
Jean Bates,58,Female,Single,PhD,68194,Administrative,6343.281983635437,43,25,943.8952100279395,Medium,5,0.3666914591953073,Birth,Close,Good,12,Medium,1,2
Lisa Nunez,42,Female,Widowed,PhD,174551,Unskilled Labor,3754.819734931175,18,28,36.2451792905372,Low,7,0.23608978857313578,Birth,Far,Poor,40,Medium,3,4
Andrea Johnson,44,Female,Single,High School,107373,Administrative,3796.4136790071766,78,91,713.3765114676387,Low,12,0.2563212010708784,Divorce,Close,Poor,46,High,3,4
Michael Jackson,26,Male,Divorced,High School,190723,Skilled Labor,6932.243395091835,85,53,693.7201397277478,Medium,11,0.9947050345753372,Marriage,Far,Poor,0,Low,1,3
Jeffrey Johnson,25,Male,Single,Master's Degree,29273,Technical,133.96298583661093,68,94,463.3603003894434,High,14,0.782482946896112,None,Far,Good,12,Low,1,3
Gabriella Roth,51,Female,Single,Master's Degree,152394,Administrative,8831.251664382484,275,9,866.6797559583518,Low,9,0.44472015310980506,Marriage,Close,Good,4,Medium,4,4
Ashley Smith,58,Female,Divorced,PhD,148345,Unskilled Labor,6577.938211054988,275,5,854.8020261929637,High,10,0.38999966946360454,Relocation,Moderate,Good,47,Medium,3,4
Larry Wilcox,81,Male,Divorced,Master's Degree,37761,Unskilled Labor,9583.377989879333,55,59,555.351779935987,High,5,0.5822143255522133,Divorce,Moderate,Fair,39,Medium,4,4
Lauren Gordon,36,Female,Married,Bachelor's Degree,148800,Administrative,5658.092458602563,8,92,787.5234153092745,Low,14,0.5737369714433274,Relocation,Far,Poor,22,Medium,2,4
Christopher Peters,43,Male,Divorced,High School,74337,Skilled Labor,4737.755845895012,140,2,707.8271671920753,Medium,1,0.9516605495021954,Marriage,Far,Poor,24,Medium,2,2
Miss Paula Conrad MD,67,Male,Widowed,Bachelor's Degree,103619,Professional,4718.641097065368,17,55,408.6141664911687,Low,16,0.1245793994107901,None,Close,Poor,41,High,4,2
Albert Martinez,47,Male,Divorced,High School,97201,Administrative,4135.818848869815,283,68,368.7328977704646,Low,5,0.6106025563718427,Birth,Moderate,Good,32,High,3,4
Patricia Cox,87,Male,Widowed,Master's Degree,48393,Administrative,3323.6295676574437,31,97,428.29981378673324,Medium,4,0.7914431271044812,None,Far,Fair,23,Medium,3,2
Maria York,20,Male,Single,PhD,170577,Technical,1371.5230054726246,25,26,915.147461752483,High,18,0.17454417741397255,Relocation,Moderate,Poor,38,Medium,2,2
Katrina Jennings,82,Male,Married,Bachelor's Degree,44424,Unskilled Labor,5313.126001192292,31,17,671.3171316620825,Low,17,0.6906459182625337,Birth,Moderate,Fair,42,Low,3,1
Cynthia Johnson,60,Male,Widowed,PhD,111051,Managerial,7385.691591554865,37,56,330.96241266109354,High,4,0.9801409062130108,Birth,Moderate,Good,6,Medium,2,3
Mike Perez,79,Male,Single,Bachelor's Degree,113336,Unskilled Labor,3953.745517451777,15,84,57.51668051282739,Medium,14,0.8596118651908351,Birth,Close,Poor,31,High,1,3
Roger Fox,24,Female,Married,PhD,86459,Administrative,3077.2288965374496,267,8,336.85103637731714,Low,12,0.745691923279255,Relocation,Close,Fair,18,High,3,3
Ashley Cross MD,29,Male,Divorced,High School,131000,Administrative,8491.234046389938,18,21,653.3079806753376,High,10,0.7366444303283766,Divorce,Moderate,Fair,12,High,3,4
Keith Dawson,25,Female,Single,Bachelor's Degree,43974,Technical,5589.002337631119,175,48,563.5275952636115,High,0,0.9861006426451405,Marriage,Moderate,Poor,42,High,3,3
Douglas Grant,57,Male,Widowed,High School,199021,Unskilled Labor,6226.838975508443,87,9,609.5228753954824,High,9,0.8983251986432542,Relocation,Far,Fair,3,High,2,4
Caitlin Freeman,24,Female,Widowed,PhD,156841,Managerial,1054.873273834256,213,34,115.9415853906513,Low,18,0.9596856765609729,Birth,Moderate,Fair,20,High,4,2
Dawn Rivera,81,Male,Divorced,Master's Degree,51143,Professional,6198.417284004464,202,79,992.9777442414928,Low,6,0.7448193663328777,Marriage,Moderate,Fair,26,Medium,4,1
Valerie Sanders,56,Female,Widowed,Bachelor's Degree,175028,Administrative,9357.722468801847,258,75,251.3163140742523,High,7,0.8577682328588104,Birth,Close,Poor,39,Medium,1,4
Virginia Saunders,65,Male,Single,Master's Degree,131916,Professional,1520.5439785603357,239,18,107.86711927069481,Medium,4,0.7305562699024848,Marriage,Close,Good,18,Medium,4,1
Jennifer Peterson,24,Female,Widowed,PhD,138617,Technical,9743.246708884091,255,96,963.4645066450729,High,8,0.28324738171414454,None,Moderate,Good,22,Medium,1,1
Audrey Cortez,44,Male,Widowed,PhD,38607,Managerial,5139.210133111292,255,14,757.8693123901057,High,0,0.5027320074592722,Birth,Far,Good,32,Medium,2,1
Brandon Diaz,20,Female,Married,Bachelor's Degree,70497,Managerial,5477.516450863785,79,63,65.73358336780149,High,1,0.1783748688672263,Marriage,Far,Poor,1,High,4,4
Krystal Briggs,22,Female,Widowed,Master's Degree,141901,Unskilled Labor,1794.5372655517656,21,1,120.65260385100521,High,6,0.5732399810745465,Divorce,Far,Fair,34,Low,2,1
Martha Underwood DVM,36,Female,Married,Bachelor's Degree,82886,Technical,2169.5770094053814,87,90,418.6041609419308,High,1,0.9508269397437771,Relocation,Far,Fair,20,High,4,3
Joshua Payne,70,Male,Widowed,Master's Degree,150666,Skilled Labor,9174.920918573867,5,79,325.4166548995792,Low,1,0.817664591017522,None,Far,Fair,45,Medium,3,2
Scott Foster,22,Female,Single,High School,57936,Administrative,1080.1154987671823,28,57,489.87284442155044,High,10,0.1534925666557757,Marriage,Close,Poor,38,High,1,4
Juan Ramos,33,Female,Widowed,High School,111958,Administrative,8876.401904114138,127,95,843.1363798252515,Low,2,0.6480457878775194,Birth,Close,Fair,15,Medium,2,4
Robert Hart,33,Male,Single,Master's Degree,109610,Managerial,5365.6581414965085,164,65,978.4365314849772,Medium,0,0.9438104634352277,None,Far,Good,31,Low,2,3
Lance Trevino,49,Female,Single,Bachelor's Degree,198083,Managerial,8845.792179880935,149,42,427.170702244521,Medium,11,0.38967364025414686,Birth,Far,Poor,3,Medium,3,4
Jermaine Fuentes,59,Female,Single,Master's Degree,107114,Administrative,5280.633789759294,244,58,447.2787136908645,Low,4,0.5329407723860414,Divorce,Moderate,Good,10,Low,2,2
Glenn Clements,75,Female,Single,PhD,45696,Professional,1742.158905643204,276,50,887.3560627902717,Medium,18,0.29127679412134,Relocation,Far,Good,33,High,1,3
Beth Hill,88,Female,Widowed,High School,44689,Technical,6146.693132102242,57,29,117.808443305285,Low,1,0.16835196637579564,Birth,Close,Fair,35,Low,4,3
Elizabeth Miller,49,Male,Married,Master's Degree,158146,Skilled Labor,16.61651006757858,249,88,178.01374573858962,High,14,0.6133434109702244,Relocation,Moderate,Fair,7,Medium,3,4
Henry Compton,18,Male,Widowed,Master's Degree,26493,Skilled Labor,2139.8259268719476,178,34,109.32507691665097,Low,5,0.046698738110619975,Birth,Moderate,Fair,3,Low,2,3
William Smith,21,Male,Married,High School,73471,Skilled Labor,3376.751110033779,19,18,673.9336718299788,High,5,0.33514549365996094,Birth,Close,Fair,25,High,3,3
John Mitchell,34,Male,Widowed,Bachelor's Degree,199435,Technical,186.80480644225784,211,56,560.1169302438267,High,16,0.5003071572258814,Relocation,Far,Poor,32,High,2,3
Joshua Mckay,88,Female,Married,Master's Degree,97533,Administrative,4700.9956685484085,266,67,232.98461425887518,Medium,2,0.6595431724103599,None,Far,Poor,32,High,4,3
Jason Powers,60,Female,Married,PhD,94368,Skilled Labor,9881.88589264981,208,67,723.7354693359174,Medium,11,0.6008344411531119,None,Moderate,Fair,15,High,1,4
Thomas Haas,54,Female,Married,Master's Degree,61009,Administrative,5236.565712110183,198,41,794.5937286645047,High,11,0.33231207468497936,Relocation,Close,Good,21,Medium,1,2
Tammy Romero,55,Male,Widowed,PhD,91561,Managerial,206.44181183330224,270,6,838.4261734503841,Medium,12,0.8897295098501744,Divorce,Far,Fair,42,High,1,3
Paul Higgins,42,Male,Married,High School,79390,Managerial,8784.92210194522,27,37,296.3398947148604,Low,17,0.6864930018493085,Marriage,Moderate,Good,14,Medium,3,1
Abigail White,36,Female,Single,Master's Degree,52915,Administrative,7979.133996374403,245,50,383.587644943489,Medium,4,0.9424231123656642,Birth,Close,Fair,36,Low,1,3
Amy Price,69,Male,Single,PhD,136436,Skilled Labor,3731.644077265659,184,57,894.8936656880186,High,9,0.9220715907916034,Marriage,Far,Poor,8,Low,1,3
Connie Beasley,38,Male,Divorced,High School,57052,Skilled Labor,1247.1090910554383,4,76,429.75156190802744,Medium,10,0.06750705856004857,Divorce,Close,Poor,1,High,2,2
Shawn Evans,77,Male,Married,High School,152558,Administrative,9215.767231716492,191,69,138.66087921548453,Medium,3,0.44900233807494727,Birth,Close,Fair,24,High,2,4
Alexis Myers,28,Female,Widowed,Bachelor's Degree,57241,Unskilled Labor,5250.647240724971,43,60,869.3806717202441,Low,1,0.9531381013758379,None,Moderate,Poor,46,High,1,2
Katherine Cameron,33,Female,Divorced,High School,111874,Technical,686.4614709702987,155,99,235.1941919810473,High,12,0.6194810421523385,Divorce,Far,Poor,3,High,2,1
Dr. Geoffrey Ball,31,Male,Single,PhD,150150,Professional,6191.706001232339,236,22,824.1921102358424,Medium,17,0.12330298117103444,Relocation,Far,Poor,39,Low,3,4
Sharon Mcbride,80,Female,Divorced,Master's Degree,107200,Technical,8780.011573612113,299,96,612.570391142528,Low,7,0.09635455880773769,Birth,Close,Good,20,Medium,4,2
Anne Ayers,28,Male,Single,PhD,141944,Unskilled Labor,6466.3318017976635,182,54,877.0682431815866,Low,15,0.7038888189530703,Divorce,Far,Poor,23,Medium,2,4
Mike Myers,85,Male,Single,Master's Degree,98476,Professional,9955.319944251632,229,15,652.451024600554,Medium,9,0.579556813660926,None,Moderate,Good,3,Medium,3,1
Amy Young,45,Male,Married,Master's Degree,147492,Managerial,6607.873464827491,166,44,296.6250404281244,High,16,0.4756582224270779,None,Far,Poor,21,High,4,1
Adam Henry,86,Female,Single,Bachelor's Degree,110923,Professional,2840.0032226880244,97,65,555.526670789408,High,19,0.41110384438753966,Divorce,Moderate,Fair,19,High,1,3
Zachary Nolan,33,Female,Divorced,Bachelor's Degree,149319,Technical,8184.837221116654,15,80,998.3736487658406,Low,2,0.5023909962289854,Marriage,Far,Poor,36,High,4,1
